first_name,last_name,email,dob,number,specialization,current_year,graduate_year
student1,name1,tanmayyuvasoft325@gmail.com,2021-11-11 00:00:00 UTC,919826798798,Mathematics,current_year,graduate_year
student2,name1,abc@gmail.com,0001-12-13 00:00:00 UTC,7878787878,civil,current_year,graduate_year
student3,name2,abc@gmail.com,0001-12-13 00:00:00 UTC,7878787878,civil,current_year,graduate_year
student4,name4,abc@gmail.com,0001-12-13 00:00:00 UTC,7878787878,civil,current_year,graduate_year
student5,name5,abc@gmail.com,0001-12-13 00:00:00 UTC,7878787878,civil,current_year,graduate_year
student6,name6,user8@gmail.com,2021-11-02 00:00:00 UTC,9826798798,Mechanical Engineer,current_year,graduate_year
student7,name7,test1@yopmail.com,2021-11-19 00:00:00 UTC,918962419778,Mechanical Engineer,current_year,graduate_year
student7,name7,test1@yopmail.com,2021-11-19 00:00:00 UTC,918962419778,Mechanical Engineer,current_year,graduate_year
Test8,name8,test8@yopmail.com,2021-11-14 00:00:00 UTC,918962419778,Mechanical Engineer,current_year,graduate_year
student2,name1,abc@gmail.com,0001-12-13 00:00:00 UTC,7878787878,civil,current_year,graduate_year
student3,name2,abc@gmail.com,0001-12-13 00:00:00 UTC,7878787878,civil,current_year,graduate_year
student4,name4,abc@gmail.com,0001-12-13 00:00:00 UTC,7878787878,civil,current_year,graduate_year
student5,name5,abc@gmail.com,0001-12-13 00:00:00 UTC,7878787878,civil,current_year,graduate_year
first_name,last_name,email,dob,number,specialization,current_year,graduate_year
student1,name1,tanmayyuvasoft325@gmail.com,2021-11-11 00:00:00 UTC,919826798798,Mathematics,current_year,graduate_year
student2,name1,abc@gmail.com,0001-12-13 00:00:00 UTC,7878787878,civil,current_year,graduate_year
student3,name2,abc@gmail.com,0001-12-13 00:00:00 UTC,7878787878,civil,current_year,graduate_year
student4,name4,abc@gmail.com,0001-12-13 00:00:00 UTC,7878787878,civil,current_year,graduate_year
student5,name5,abc@gmail.com,0001-12-13 00:00:00 UTC,7878787878,civil,current_year,graduate_year
student6,name6,user8@gmail.com,2021-11-02 00:00:00 UTC,9826798798,Mechanical Engineer,current_year,graduate_year
student7,name7,test1@yopmail.com,2021-11-19 00:00:00 UTC,918962419778,Mechanical Engineer,current_year,graduate_year
student7,name7,test1@yopmail.com,2021-11-19 00:00:00 UTC,918962419778,Mechanical Engineer,current_year,graduate_year
Test8,name8,test8@yopmail.com,2021-11-14 00:00:00 UTC,918962419778,Mechanical Engineer,current_year,graduate_year
student2,name1,abc@gmail.com,0001-12-13 00:00:00 UTC,7878787878,civil,current_year,graduate_year
student3,name2,abc@gmail.com,0001-12-13 00:00:00 UTC,7878787878,civil,current_year,graduate_year
student4,name4,abc@gmail.com,0001-12-13 00:00:00 UTC,7878787878,civil,current_year,graduate_year
student5,name5,abc@gmail.com,0001-12-13 00:00:00 UTC,7878787878,civil,current_year,graduate_year
first_name,last_name,email,dob,number,specialization,current_year,graduate_year
student1,name1,tanmayyuvasoft325@gmail.com,2021-11-11 00:00:00 UTC,919826798798,Mathematics,current_year,graduate_year
student2,name1,abc@gmail.com,0001-12-13 00:00:00 UTC,7878787878,civil,current_year,graduate_year
student3,name2,abc@gmail.com,0001-12-13 00:00:00 UTC,7878787878,civil,current_year,graduate_year
student4,name4,abc@gmail.com,0001-12-13 00:00:00 UTC,7878787878,civil,current_year,graduate_year
student5,name5,abc@gmail.com,0001-12-13 00:00:00 UTC,7878787878,civil,current_year,graduate_year
student6,name6,user8@gmail.com,2021-11-02 00:00:00 UTC,9826798798,Mechanical Engineer,current_year,graduate_year
student7,name7,test1@yopmail.com,2021-11-19 00:00:00 UTC,918962419778,Mechanical Engineer,current_year,graduate_year
